#Format version: 1.0
time[us],Waveform 1,Waveform 1,gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],magnX[uT],magnY[uT],magnZ[uT],
1220003,43625,22.476,0.035,-1.032,1.137,0.087,-0.035,1.03,-24.3,-4.5,11.4,
1230001,43635,22.4952,0.052,-0.997,4.165,-0.066,0.028,1.026,-23.8,-5.1,10.3,
1240004,43645,22.4952,-0.017,-1.085,-0.577,0.008,-0.002,1.03,-22.9,-3.7,11.5,
1250003,43655,22.4952,-0.052,-1.12,-0.945,0.008,-0.004,1.028,-24.3,-4.8,10.5,
1260002,43665,22.4952,0.017,-1.102,-1.137,0.009,-0.006,1.027,-24,-4,10.2,
1270001,43675,22.4952,-0.245,-1.242,-0.42,0.042,-0.03,1.028,-24,-4.3,10.8,
1280004,43685,22.4952,-0.192,-1.242,0.577,-0.04,0.027,1.028,-23.8,-4.6,10.2,
1290001,43695,22.4952,-0.315,-1.207,-0.945,0.005,-0.001,1.028,-24.1,-4.2,10.6,
1300002,43705,22.4952,-0.437,-1.242,-0.875,0.008,-0.001,1.028,-23.7,-4.8,10,
1310001,43715,22.4952,-0.472,-1.225,-0.892,0.011,-0.002,1.028,-23.7,-3.7,10.9,
1320004,43725,22.4952,-0.472,-1.242,-0.892,0.013,-0.002,1.027,-24.3,-4,11.4,
1330001,43735,22.4952,-0.752,-1.575,-0.857,0.011,0,1.028,-22.6,-4,11.1,
1340002,43745,22.4952,-1.365,-2.117,-0.805,0.014,-0.003,1.029,-23.8,-4.6,11.2,
1350001,43755,22.4952,-0.98,-1.767,-0.875,0.014,-0.004,1.027,-23.7,-4.3,10.5,
1360004,43765,22.4952,-0.122,-0.997,-0.892,0.015,-0.004,1.028,-23.8,-5.1,10.5,
1370001,43775,22.4952,0.84,-0.105,-0.892,0.011,-0.002,1.029,-24.3,-4.8,9,
1380003,43785,22.4952,0.84,-0.105,-0.945,0.005,0.003,1.029,-24.3,-4.6,10.3,
1390001,43795,22.4952,-0.227,-1.05,-0.927,0.005,-0.001,1.027,-23.7,-4.3,10.8,
1400004,43805,22.4952,-0.367,-1.102,-0.945,0.003,-0.002,1.028,-24.6,-5.1,10.5,
1410001,43815,22.4952,-0.35,-1.137,-1.522,0.063,0.089,1.027,-24.3,-4,11.4,
1420002,43825,22.4952,-0.35,-1.085,-2.345,-0.034,-0.012,1.026,-23.2,-3.3,10.8,
1430001,43835,22.4952,-0.577,-1.172,0.63,-0.009,-0.012,1.028,-24.1,-4.8,10.9,
1440004,43845,22.4952,-0.507,-1.102,-0.28,0.003,-0.002,1.029,-23.8,-4.8,10.6,
1450001,43855,22.4952,-0.49,-0.997,0.14,0.008,-0.024,1.028,-23.1,-3.9,10.5,
1460003,43865,22.4952,-0.14,-0.805,0.28,0.013,-0.039,1.028,-24.4,-4.3,10.8,
1470001,43875,22.476,-0.105,-0.98,0.682,0.013,-0.025,1.028,-23.8,-4.2,10.6,
1480004,43885,22.476,-0.105,-0.98,0.682,0.013,-0.025,1.028,-22.8,-4.3,10.8,
1490001,43895,22.476,0.122,-0.98,-0.175,0.013,-0.001,1.027,-22.9,-4,10.3,
1500004,43905,22.476,0.35,-0.945,-0.91,0.01,-0.003,1.028,-24,-4.5,10.3,
1510001,43915,22.476,1.82,-0.647,-0.997,0.008,-0.004,1.028,-24.4,-5.2,10.6,
1520004,43925,22.476,2.59,-0.542,-1.032,0.005,0.001,1.027,-24,-4,10.3,
1530001,43935,22.476,1.05,-0.892,-0.927,0.004,0.002,1.025,-24.3,-4.8,10.5,
1540003,43945,22.476,-1.365,-1.365,-0.875,0.004,0.001,1.027,-24.6,-4,10.5,
1550001,43955,22.5336,-3.465,-1.767,-0.927,0.004,0,1.027,-25.2,-4.9,11.4,
1560004,43965,22.5336,-2.362,-1.575,-4.882,-0.073,0.049,1.03,-23.1,-4.2,10.3,
1570001,43975,22.5336,-0.525,-1.26,-14.665,0.023,-0.029,1.029,-24.6,-4.6,10.9,
1580003,43985,22.5336,-0.472,-1.172,-7.84,0.053,-0.038,1.026,-23.7,-4.9,10.5,
1590001,43995,22.5336,0.087,-1.12,-1.382,0.04,-0.003,1.027,-24.7,-4.9,10.2,
1600004,44005,22.5336,0.227,-1.137,-0.647,0.011,0,1.026,-24.4,-4.5,9.4,
1610001,44015,22.5336,0.297,-1.172,-0.91,0.009,-0.002,1.03,-24.6,-4.6,10.5,
1620003,44025,22.5336,-0.087,-1.12,-0.875,0.01,-0.005,1.028,-25,-4.3,10.9,
1630001,44035,22.5144,1.47,-0.77,-0.892,0.009,-0.014,1.031,-23.8,-4.3,10.8,
1640004,44045,22.5144,4.76,-0.105,-0.962,0.007,-0.005,1.029,-24.6,-4,10.5,
1650001,44055,22.5144,5.652,0.087,-0.962,0.006,0,1.028,-23.1,-4.6,10.5,
1660003,44065,22.5144,5.005,-0.087,-0.962,0.007,0.004,1.026,-23.7,-4.8,10.8,
1670001,44075,22.5144,3.797,-0.28,-0.875,0.006,0.007,1.027,-24.1,-3.9,11.4,
1680004,44085,22.5144,1.522,-0.787,-0.84,0.007,0.006,1.027,-23.5,-3.7,11.7,
1690001,44095,22.5144,0.385,-1.015,-0.857,0.007,0.002,1.028,-24.1,-3.9,11.5,
1700002,44105,22.5144,0.42,-1.015,-0.91,0.006,0.002,1.026,-23.5,-4.9,10.8,
1710001,44115,22.5144,0.437,-1.067,-0.945,0.006,0,1.027,-24.3,-4.5,10.2,
1720004,44125,22.4952,0.07,-1.19,-0.892,0.005,0.003,1.026,-23.4,-4.9,11.1,
1730001,44135,22.4952,-0.577,-1.207,-0.787,0.007,0,1.03,-23.7,-4.9,10.6,
1740003,44145,22.4952,-0.577,-1.207,-0.805,0.008,0,1.029,-23.7,-3.7,10.2,
1750003,44155,22.4952,-0.42,-1.155,-0.787,0.009,0.001,1.027,-24.3,-4.9,11.5,
1760004,44165,22.4952,-0.21,-1.172,-0.805,0.01,0.003,1.028,-23.8,-4.3,11.4,
1770001,44175,22.4952,-0.28,-1.172,-0.84,0.012,0.003,1.028,-24.4,-4,11.1,
1780002,44185,22.4952,-0.35,-1.19,-0.84,0.011,0.003,1.028,-24.4,-3.3,11.2,
1790001,44195,22.4952,-0.28,-1.155,-0.84,0.011,0.002,1.028,-24.6,-4.6,11.1,
1800004,44205,22.4952,-0.105,-1.137,-0.875,0.008,0.002,1.028,-24.1,-3.7,10.9,
1810001,44215,22.4952,-0.087,-1.19,-0.91,0.006,0,1.029,-23.7,-3.6,10.9,
1820002,44225,22.4952,-0.192,-1.19,-0.857,0.006,0,1.028,-24.3,-4.5,11.8,
1830001,44235,22.4952,-0.21,-1.137,-0.822,0.005,-0.001,1.027,-23.1,-4,11.2,
1840004,44245,22.4952,-0.157,-1.172,-0.84,0.004,0,1.029,-24.4,-4.2,10.8,
1850001,44255,22.4952,-0.14,-1.155,-0.822,0.005,0,1.028,-24.9,-4.5,10.9,
1860003,44265,22.4952,-0.175,-1.137,-0.822,0.005,0,1.028,-23.7,-4,12.1,
1870001,44275,22.4952,-0.245,-1.155,-0.77,0.007,0.001,1.028,-24.1,-4.2,10.2,
1880004,44285,22.5336,-0.28,-1.19,-0.787,0.008,0.002,1.029,-23.4,-4,11.1,
1890001,44295,22.5336,-0.227,-1.137,-0.787,0.009,0.003,1.027,-24.1,-5.1,11.8,
1900002,44305,22.5336,-0.245,-1.137,-0.752,0.01,0.002,1.029,-24.9,-4.6,10.8,
